NAME,SUBSCRIPTION,LOCATION,
"cloud-shell-storage-westeurope","Visual Studio Enterprise Subscription","West Europe"
"DefaultResourceGroup-EUS","Visual Studio Enterprise Subscription","East US"
"dp203-6q850pw","Visual Studio Enterprise Subscription","North Europe"
"dp203-81nm25q","Visual Studio Enterprise Subscription","Central US"
"dp203-djgwl2e","Visual Studio Enterprise Subscription","East US 2"
"dp203-pw3y45z","Visual Studio Enterprise Subscription","West US"
"dp203-rfkadqe","Visual Studio Enterprise Subscription","North Europe"
"dp203-sfyanwb","Visual Studio Enterprise Subscription","East US 2"
"dp203-sk14h5v","Visual Studio Enterprise Subscription","East US 2"
"dp203-sy3xz0w","Visual Studio Enterprise Subscription","West US"
"ExploreAzureFirstActivity","Visual Studio Enterprise Subscription","East US"
"gwala","Visual Studio Enterprise Subscription","East US 2"
"Karabo","Visual Studio Enterprise Subscription","South Africa North"
"Karabo_cosmoDb","Visual Studio Enterprise Subscription","South Africa North"
"learn44b730666ce64382b3","Visual Studio Enterprise Subscription","Central US"
"learn515f7127035f4c6a82","Visual Studio Enterprise Subscription","East US"
"learna9b91523afd64966af","Visual Studio Enterprise Subscription","East US"
"learnbed210c4009a4c86b9","Visual Studio Enterprise Subscription","North Europe"
"learncfd4243bc8c54975ac","Visual Studio Enterprise Subscription","East US"
"learnd0784fdfe64149209f","Visual Studio Enterprise Subscription","Japan East"
"LesetjaJohn-Mogashoa","Visual Studio Enterprise Subscription","South Africa North"
"lethabo-rg","Visual Studio Enterprise Subscription","East US"
"ManagedPlatform","Visual Studio Enterprise Subscription","East US"
"Mbele35","Visual Studio Enterprise Subscription","Central US"
"nande-managed-rg","Visual Studio Enterprise Subscription","Central US"
"nande-rg","Visual Studio Enterprise Subscription","Central US"
"Neo","Visual Studio Enterprise Subscription","East US"
"NkosanaMbele","Visual Studio Enterprise Subscription","East US"
"Osca2024_cosmosDB","Visual Studio Enterprise Subscription","Central US"
"osca_SynapseAnalytics","Visual Studio Enterprise Subscription","North Europe"
"rendani-synapse-managed-rg","Visual Studio Enterprise Subscription","UK South"
"rendani-synapse-rg","Visual Studio Enterprise Subscription","UK South"
"rendanicosmosdb","Visual Studio Enterprise Subscription","West US"
"rofhiwa-synapse-managed-rg","Visual Studio Enterprise Subscription","East US 2"
"rofhiwarams-synapse-rg","Visual Studio Enterprise Subscription","East US 2"
"ShibaDB","Visual Studio Enterprise Subscription","Central US"
"synapse-kb","Visual Studio Enterprise Subscription","UK South"
"synapse-ljmogashoa","Visual Studio Enterprise Subscription","South Africa North"
"synapse-managed-kb","Visual Studio Enterprise Subscription","UK South"
"synapse-managed-neo","Visual Studio Enterprise Subscription","East US 2"
"synapse-rg","Visual Studio Enterprise Subscription","East US 2"
"synapseworkspace-managedrg-3a202d7d-b7d4-419c-90d3-246953125e1c","Visual Studio Enterprise Subscription","West US"
"synapseworkspace-managedrg-56b75b78-d8bb-48ea-b03d-dd2878d2408b","Visual Studio Enterprise Subscription","East US 2"
"synapseworkspace-managedrg-98f2c337-247a-4b9a-bf92-5b8addf0abc1","Visual Studio Enterprise Subscription","North Europe"
"synapseworkspace-managedrg-a4beeff4-a138-4e0f-92dd-c0c5cec46d9f","Visual Studio Enterprise Subscription","Central US"
"synapseworkspace-managedrg-c75e26ad-c3b8-49cc-a39b-5730bf5f47b2","Visual Studio Enterprise Subscription","East US 2"
"synapseworkspace-managedrg-c929a147-ddd1-4072-9307-7c408ada1592","Visual Studio Enterprise Subscription","West US"
"synapseworkspace-managedrg-de131733-510f-4036-b9b4-646c4e169c80","Visual Studio Enterprise Subscription","East US 2"
"synapseworkspace-managedrg-e992838f-4137-490c-88ea-a10ee15fa422","Visual Studio Enterprise Subscription","North Europe"
"synapseworkspace-managedrg-fb9c409b-cb63-4069-988b-12b4b51b6cee","Visual Studio Enterprise Subscription","North Europe"
"Team1","Visual Studio Enterprise Subscription","East US"
"Team2","Visual Studio Enterprise Subscription","East US"
"Thobani","Visual Studio Enterprise Subscription","South Africa North"
"ynapse-managed-rg","Visual Studio Enterprise Subscription","East US 2"
"Zenande","Visual Studio Enterprise Subscription","South Africa North"